==COMPLETE LIST OF ISCN(2024) EXAMPLES==

'''This file contains all of the ISCN(2024) examples from the cytogenetics and in situ hybridization chapters.  The Example Numbers in parentheses are for reference to this file and are not published in the ISCN.  The markup for underlining (<u></u>) has been retained and should not be used in the ISCN string.  Section numbers have been intercalated for easier location in the ISCN text.  For most efficient searching, pipe multiple instances of grep to identify the examples with particular patterns of interest.  For example, grep 'der' | grep 'ins' finds all examples of derivative chromosomes involving an insertion.'''


(Ex.1)	inv(Y)(p11.2q11.2)pat
(Ex.243)	45,fra(X)(q27.3)
(Ex.244)	47,XY,fra(X)(q27.3)
(Ex.245)	46,XX,fra(11)(q23)
5.5.8
(Ex.246)	46,XX,hsr(1)(p22)[10]
(Ex.247)	46,XX,hsr(1)(pter-->p22::hsr::p22-->qter)[10]
(Ex.248)	46,XY,hsr(21)(q22)[10]
(Ex.249)	46,XY,hsr(21)(pter-->q22::hsr::q22-->qter)[10]
(Ex.250)	46,XX,der(1)hsr(1)(p22)hsr(1)(q31)[10]
(Ex.251)	46,XX,der(1)(pter-->p22::hsr::p22-->q31::hsr::q31-->qter)[10]
(Ex.252)	46,XY,der(1)del(1)(p33p21)hsr(1)(p33)[10]
(Ex.253)	46,XY,der(1)(pter-->p33::hsr::p21-->qter)[10]
(Ex.254)	46,XX,der(2)del(2)(q21q31)hsr(2)(q21)[10]
(Ex.255)	46,XX,der(2)(pter-->q21::hsr::q31-->qter)[10]
(Ex.256)	46,XX,der(1)ins(1;7)(q21;p21p11.2)hsr(1;7)(q21;p11.2)[10]
(Ex.257)	46,XX,der(1)(1pter-->1q21::7p21-->7p11.2::hsr::1q21-->1qter)[10]
(Ex.258)	46,XX,der(1)ins(1;7)(q21;p11.2p21)hsr(1;7)(q21;p11.2)[10]
(Ex.259)	46,XX,der(1)(1pter-->1q21::hsr::7p11.2-->7p21::1q21-->1qter)[10]
5.5.9.1
(Ex.260)	46,XX,ins(2)(p13q31q21) or 46,XX,ins(2)(pter-->p13::q31-->q21::p13-->q21::q31-->qter)
(Ex.261)	46,XY,ins(2)(p13q21q31) or 46,XY,ins(2)(pter-->p13::q21-->q31::p13-->q21::q31-->qter)
5.5.9.2
(Ex.262)	46,X,ins(5;X)(p14;q21q25) or 46,X,ins(5;X)(5pter-->5p14::Xq21-->Xq25::5p14-->5qter;Xpter-->Xq21::Xq25-->Xqter)
(Ex.263)	46,XX,ins(5;2)(p14;q32q22) or 46,XX,ins(5;2)(5pter-->5p14::2q32-->2q22::5p14-->5qter;2pter-->2q22::2q32-->2qter)
(Ex.264)	46,XY,ins(5;2)(p14;q22q32) or 46,XY,ins(5;2)(5pter-->5p14::2q22-->2q32::5p14-->5qter;2pter-->2q22::2q32-->2qter)
(Ex.265)	46,XX,ins(5;2)(q31;p13p23) or 46,XX,ins(5;2)(5pter-->5q31::2p13-->2p23::5q31-->5qter;2pter-->2p23::2p13-->2qter)
(Ex.266)	46,XX,ins(5;2)(q31;p23p13) or 46,XX,ins(5;2)(5pter-->5q31::2p23-->2p13::5q31-->5qter;2pter-->2p23::2p13-->2qter)
(Ex.267)	46,XY,der(5)ins(5;2)(q31;p23p13)dmat
(Ex.268)	46,X,der(X)ins(X;7)(p21;q22q21)
5.5.9.3
(Ex.269)	46,XY,ins(5;6)(q13q23;q15q23)
(Ex.270)	46,XY,ins(5;6)(5pter-->5q13::6q15-->6q23::5q23-->5qter;6pter-->6q15::5q13-->5q23::6q23-->6qter)
